iter	Passed	Remaining
462	752	872
463	753	870
464	754	867
465	755	865
466	756	863
467	757	860
468	758	858
469	759	856
470	760	853
471	760	851
472	761	848
473	762	846
474	763	844
475	764	841
476	765	839
477	766	837
478	767	835
479	768	832
480	769	830
481	770	828
482	771	825
483	772	823
484	773	821
485	774	818
486	775	816
487	775	814
488	776	811
489	777	809
490	778	807
491	780	805
492	781	803
493	782	801
494	783	799
495	784	796
496	785	794
497	786	792
498	787	790
499	788	788
500	789	786
501	790	783
502	791	781
503	791	779
504	792	777
505	794	775
506	794	773
507	795	770
508	796	768
509	797	766
510	798	764
511	799	762
512	800	760
513	801	757
514	802	755
515	803	753
516	804	751
517	805	749
518	806	747
519	807	745
520	808	743
521	809	741
522	810	739
523	811	737
524	812	735
525	813	733
526	814	731
527	815	729
528	816	727
529	817	725
530	818	723
531	819	721
532	820	719
533	821	717
534	822	714
535	823	712
536	824	710
537	825	709
538	826	706
539	827	704
540	828	702
541	829	700
542	830	698
543	830	696
544	831	694
545	832	692
546	833	690
547	834	688
548	835	686
549	836	684
550	837	682
551	838	680
552	839	678
553	840	676
554	841	674
555	842	672
556	843	670
557	844	668
558	844	666
559	845	664
560	846	662
561	847	660
562	848	658
563	849	656
564	850	655
565	851	653
566	852	651
567	853	649
568	854	647
569	855	645
570	856	643
571	857	641
572	858	639
573	859	637
574	860	635
575	861	633
576	862	632
577	863	630
578	864	628
579	865	626
580	866	624
581	867	622
582	868	620
583	869	619
584	870	617
585	871	615
586	872	613
587	872	611
588	873	609
589	874	607
590	875	606
591	876	604
592	877	602
593	878	600
594	879	598
595	880	596
596	881	594
597	882	593
598	883	591
599	884	589
600	885	587
601	885	585
602	886	583
603	887	582
604	888	580
605	889	578
606	890	576
607	891	574
608	892	572
609	893	571
610	894	569
611	895	567
612	896	565
613	897	564
614	898	562
615	899	560
616	900	558
617	901	556
618	902	555
619	902	553
620	903	551
621	904	549
622	905	548
623	906	546
624	907	544
625	908	542
626	909	541
627	910	539
628	911	537
629	912	535
630	913	534
631	914	532
632	915	530
633	916	528
634	917	527
635	918	525
636	918	523
637	919	521
638	920	520
639	921	518
640	922	516
641	923	515
642	924	513
643	925	511
644	926	510
645	927	508
646	928	506
647	929	504
648	930	503
649	931	501
650	932	499
651	933	498
652	934	496
653	935	494
654	936	493
655	937	491
656	938	489
657	939	488
658	940	486
659	941	484
660	942	483
661	943	481
662	944	479
663	945	478
664	946	476
665	947	474
666	947	473
667	949	471
668	949	470
669	950	468
670	951	466
671	952	465
672	953	463
673	954	461
674	955	460
675	956	458
676	957	457
677	958	455
678	959	453
679	960	452
680	961	450
681	962	448
682	963	447
683	964	445
684	965	444
685	966	442
686	967	440
687	968	439
688	969	437
689	970	436
690	971	434
691	972	432
692	973	431
693	974	429
694	975	428
695	976	426
696	977	424
697	978	423
698	979	421
699	979	419
700	981	418
701	981	416
702	982	415
703	983	413
704	984	412
705	985	410
706	986	408
707	987	407
708	988	405
709	989	404
710	990	402
711	991	401
712	992	399
713	993	398
714	994	396
715	996	395
716	997	393
717	998	392
718	999	390
719	1000	389
720	1001	387
721	1002	386
722	1003	384
723	1004	383
724	1006	381
725	1007	380
726	1008	378
727	1009	377
728	1010	375
729	1011	374
730	1012	372
731	1013	371
732	1014	369
733	1016	368
734	1017	366
735	1018	365
736	1019	363
737	1020	362
738	1021	360
739	1022	359
740	1023	357
741	1024	356
742	1025	354
743	1026	353
744	1027	351
745	1029	350
746	1030	348
747	1031	347
748	1032	345
749	1033	344
750	1034	343
751	1035	341
752	1036	340
753	1038	338
754	1039	337
755	1040	335
756	1041	334
757	1042	332
758	1043	331
759	1044	329
760	1045	328
761	1047	327
762	1048	325
763	1049	324
764	1050	322
765	1051	321
766	1052	319
767	1053	318
768	1054	316
769	1055	315
770	1056	313
771	1057	312
772	1058	310
773	1059	309
774	1061	308
775	1062	306
776	1063	305
777	1064	303
778	1065	302
779	1066	300
780	1067	299
781	1069	298
782	1069	296
783	1070	295
784	1071	293
785	1073	292
786	1074	290
787	1075	289
788	1076	287
789	1077	286
790	1078	284
791	1079	283
792	1080	281
793	1081	280
794	1082	279
795	1083	277
796	1083	276
797	1084	274
798	1085	273
799	1086	271
800	1087	270
801	1088	268
802	1089	267
803	1090	265
804	1091	264
805	1092	262
806	1093	261
807	1094	259
808	1095	258
809	1096	257
810	1097	255
811	1098	254
812	1098	252
813	1099	251
814	1100	249
815	1101	248
816	1102	246
817	1103	245
818	1104	244
819	1105	242
820	1106	241
821	1107	239
822	1108	238
823	1109	236
824	1110	235
825	1111	234
826	1112	232
827	1112	231
828	1113	229
829	1114	228
830	1115	226
831	1116	225
832	1117	224
833	1118	222
834	1119	221
835	1120	219
836	1121	218
837	1121	216
838	1122	215
839	1123	214
840	1124	212
841	1125	211
842	1126	209
843	1127	208
844	1128	206
845	1129	205
846	1130	204
847	1131	202
848	1132	201
849	1133	199
850	1133	198
851	1135	197
852	1135	195
853	1136	194
854	1137	192
855	1138	191
856	1139	190
857	1140	188
858	1141	187
859	1142	185
860	1143	184
861	1144	183
862	1144	181
863	1145	180
864	1146	178
865	1147	177
866	1148	176
867	1149	174
868	1150	173
869	1150	171
870	1151	170
871	1153	169
872	1154	167
873	1155	166
874	1156	165
875	1157	163
876	1158	162
877	1159	161
878	1160	159
879	1161	158
880	1161	156
881	1162	155
882	1163	154
883	1164	152
884	1165	151
885	1166	150
886	1167	148
887	1168	147
888	1169	146
889	1170	144
890	1171	143
891	1172	141
892	1173	140
893	1174	139
894	1174	137
895	1175	136
896	1176	135
897	1177	133
898	1178	132
899	1179	131
900	1180	129
901	1181	128
902	1182	127
903	1183	125
904	1184	124
905	1184	122
906	1185	121
907	1186	120
908	1187	118
909	1188	117
910	1189	116
911	1190	114
912	1190	113
913	1191	112
914	1192	110
915	1193	109
916	1194	108
917	1195	106
918	1196	105
919	1197	104
920	1198	102
921	1199	101
922	1199	100
923	1200	98
924	1201	97
925	1202	96
926	1203	94
927	1204	93
928	1205	92
929	1206	90
930	1207	89
931	1207	88
932	1208	86
933	1209	85
934	1210	84
935	1211	82
936	1212	81
937	1213	80
938	1214	78
939	1215	77
940	1216	76
941	1217	74
942	1217	73
943	1219	72
944	1220	71
945	1221	69
946	1221	68
947	1222	67
948	1223	65
949	1224	64
950	1225	63
951	1226	61
952	1227	60
953	1228	59
954	1229	57
955	1230	56
956	1231	55
957	1232	54
958	1233	52
959	1234	51
960	1235	50
961	1236	48
962	1236	47
963	1237	46
964	1238	44
965	1239	43
966	1241	42
967	1241	41
968	1242	39
969	1243	38
970	1244	37
971	1245	35
972	1246	34
973	1247	33
974	1248	32
975	1249	30
976	1250	29
977	1251	28
978	1252	26
979	1253	25
980	1254	24
981	1255	23
982	1256	21
983	1257	20
984	1258	19
985	1259	17
986	1260	16
987	1261	15
988	1262	14
989	1263	12
990	1264	11
991	1265	10
992	1266	8
993	1267	7
994	1268	6
995	1269	5
996	1270	3
997	1271	2
998	1272	1
999	1272	0
