iter	RMSE
320	4.40096111
321	4.399754579
322	4.393572354
323	4.389048789
324	4.386977569
325	4.384169342
326	4.381768441
327	4.381453123
328	4.376685145
329	4.376448447
330	4.374182728
331	4.369713725
332	4.365795853
333	4.364370352
334	4.359438051
335	4.356074423
336	4.352476051
337	4.35047782
338	4.344860059
339	4.339704351
340	4.338008768
341	4.333505628
342	4.331190406
343	4.326452732
344	4.32472302
345	4.321345699
346	4.317592911
347	4.314482984
348	4.313067813
349	4.312774208
350	4.311221457
351	4.30959632
352	4.304746806
353	4.298709239
354	4.293228747
355	4.290129957
356	4.288000486
357	4.284564521
358	4.282466248
359	4.278597875
360	4.274932368
361	4.269817129
362	4.263686569
363	4.259851097
364	4.256765469
365	4.256443201
366	4.251672089
367	4.249929613
368	4.246579783
369	4.246203267
370	4.243868738
371	4.2423582
372	4.238520716
373	4.23686998
374	4.235897555
375	4.230775926
376	4.230494096
377	4.22621354
378	4.224384947
379	4.222478878
380	4.218510806
381	4.215876316
382	4.212654529
383	4.20885254
384	4.20853491
385	4.205299041
386	4.200732989
387	4.200620125
388	4.19731181
389	4.195666295
390	4.195331841
391	4.192074992
392	4.19191853
393	4.189267941
394	4.187429413
395	4.187225995
396	4.1835919
397	4.182902251
398	4.179058512
399	4.178366363
400	4.176808715
401	4.174537574
402	4.170181403
403	4.169054334
404	4.16824128
405	4.164387694
406	4.160686929
407	4.15708589
408	4.153424536
409	4.149678292
410	4.146860993
411	4.141677243
412	4.137930489
413	4.1348032
414	4.134742554
415	4.133421344
416	4.133246546
417	4.131515931
418	4.12949791
419	4.128059585
420	4.124115001
421	4.1222375
422	4.11717539
423	4.114981657
424	4.110048473
425	4.107135126
426	4.103613044
427	4.102468471
428	4.097369997
429	4.093951864
430	4.092580213
431	4.091058741
432	4.089747875
433	4.088126785
434	4.085186441
435	4.083088428
436	4.081673942
437	4.080702972
438	4.07800444
439	4.076714696
440	4.07399217
441	4.07216236
442	4.067444875
443	4.063134085
444	4.062044907
445	4.060936904
446	4.057775207
447	4.05521239
448	4.0547856
449	4.052592807
450	4.052540033
451	4.050500819
452	4.047986517
453	4.045863645
454	4.043370432
455	4.039869172
456	4.034916889
457	4.033074087
458	4.029663261
459	4.028579016
460	4.027137477
461	4.024119841
462	4.022637127
463	4.022523401
464	4.020845379
465	4.0203756
466	4.019251075
467	4.016560329
468	4.014258795
469	4.010913647
470	4.009649038
471	4.008284242
472	4.003520331
473	3.999065625
474	3.998179225
475	3.994223512
476	3.989554649
477	3.987891011
478	3.983106676
479	3.978894906
480	3.975808345
481	3.972393689
482	3.969204238
483	3.964991905
484	3.963330317
485	3.962392562
486	3.961800828
487	3.959249164
488	3.955258804
489	3.954312774
490	3.951077566
491	3.948047995
492	3.947816286
493	3.943660539
494	3.94176212
495	3.938665022
496	3.937496174
497	3.934204347
498	3.932064634
499	3.928901197
500	3.92852962
501	3.92815286
502	3.923870248
503	3.922686101
504	3.920098206
505	3.918639154
506	3.91620324
507	3.913597306
508	3.909515022
509	3.90847127
510	3.905737184
511	3.904198866
512	3.900020307
513	3.899672254
514	3.896027008
515	3.893419897
516	3.891347742
517	3.890376406
518	3.887190599
519	3.885724264
520	3.882283177
521	3.880903232
522	3.879008334
523	3.875569791
524	3.870666956
525	3.868616951
526	3.86666804
527	3.863710251
528	3.861220057
529	3.860099421
530	3.85605525
531	3.853122658
532	3.850871481
533	3.847557554
534	3.846645083
535	3.845419995
536	3.84271996
537	3.841503269
538	3.83973776
539	3.838555729
540	3.835813992
541	3.835329515
542	3.833748492
543	3.831183867
544	3.83015806
545	3.827200919
546	3.824831219
547	3.821371449
548	3.820913827
549	3.816878591
550	3.8141421
551	3.811814484
552	3.807637048
553	3.803499974
554	3.801354813
555	3.798559631
556	3.795812696
557	3.795505996
558	3.7926646
559	3.790328645
560	3.789550603
561	3.786559042
562	3.7857177
563	3.783604684
564	3.782158966
565	3.779398437
566	3.778194715
567	3.775613991
568	3.773410177
569	3.772882048
570	3.772340838
571	3.771316974
572	3.770266674
573	3.768984693
574	3.768378524
575	3.765257913
576	3.762856246
577	3.759569454
578	3.759015553
579	3.755533038
580	3.752860102
581	3.751797447
582	3.751398847
583	3.749045103
584	3.745598892
585	3.742970933
586	3.741458489
587	3.739158351
588	3.736251982
589	3.733360295
590	3.73071859
591	3.728357371
592	3.725337943
593	3.723401725
594	3.721953946
595	3.721544083
596	3.718919997
597	3.71713573
598	3.715194631
599	3.714247841
600	3.713364861
601	3.710707659
602	3.706690201
603	3.70558559
604	3.704451704
605	3.701369967
606	3.698503256
607	3.696353952
608	3.693282159
609	3.690639487
610	3.688729894
611	3.68655816
612	3.68470172
613	3.682605857
614	3.6785372
615	3.677190575
616	3.675016049
617	3.671650919
618	3.670035113
619	3.667633383
620	3.665562041
621	3.664453181
622	3.661588455
623	3.660609594
624	3.660092373
625	3.656851587
626	3.653549063
627	3.651338042
628	3.648729876
629	3.646185222
630	3.644967132
631	3.643092149
632	3.640016508
633	3.638633072
634	3.635891153
635	3.634278973
636	3.633544732
637	3.633304854
638	3.631737586
639	3.628273095
640	3.624699392
641	3.622833731
642	3.620847972
643	3.618504161
644	3.617537694
645	3.614637451
646	3.612715468
647	3.611128127
648	3.610710152
649	3.609625573
650	3.604777111
651	3.602255056
652	3.601480037
653	3.599932436
654	3.596723675
655	3.594750088
656	3.590374015
657	3.587856185
658	3.585603144
659	3.582221307
660	3.581218819
661	3.578408748
662	3.576220152
663	3.575087422
664	3.570854308
665	3.567893127
666	3.56522091
667	3.563998348
668	3.562657583
669	3.562097348
670	3.55931548
671	3.557524126
672	3.555665968
673	3.553179111
674	3.552219268
675	3.548623681
676	3.548032127
677	3.547966707
678	3.546271275
679	3.545128064
680	3.542460294
681	3.542343615
682	3.540745536
683	3.538113969
684	3.536421341
685	3.53533667
686	3.532606913
687	3.530954176
688	3.528928151
689	3.528697181
690	3.526707054
691	3.525623735
692	3.522559232
693	3.519552153
694	3.517955368
695	3.515075163
696	3.514965286
697	3.514532922
698	3.514146906
699	3.512267245
700	3.509880279
701	3.507986074
702	3.505356352
703	3.504793841
704	3.504406497
705	3.502520983
706	3.498976632
707	3.498304613
708	3.497701976
709	3.495912993
710	3.494689859
711	3.492774954
712	3.491174193
713	3.49004894
714	3.487246833
715	3.485863353
716	3.48463357
717	3.483407889
718	3.479463249
719	3.47811017
720	3.473805955
721	3.473623712
722	3.472295808
723	3.471164072
724	3.470666463
725	3.469596131
726	3.467712275
727	3.464697499
728	3.462934982
729	3.461969727
730	3.458929944
731	3.456953807
732	3.454828772
733	3.450070539
734	3.445752238
735	3.443987306
736	3.439857714
737	3.439560082
738	3.438135182
739	3.435278971
740	3.434112366
741	3.431410593
742	3.42923284
743	3.428803804
744	3.427423712
745	3.426458455
746	3.423709498
747	3.422252842
748	3.420261443
749	3.419230597
750	3.417462835
751	3.41592674
752	3.413483627
753	3.413133336
754	3.407621952
755	3.407111828
756	3.404494829
757	3.402615741
758	3.401169063
759	3.399428791
760	3.399031404
761	3.395704221
762	3.395368065
763	3.394220199
764	3.391055092
765	3.387328422
766	3.386938749
767	3.386684296
768	3.385375827
769	3.385053554
770	3.384127589
771	3.38240982
772	3.381319562
773	3.380835118
774	3.378339317
775	3.377582458
776	3.377304794
777	3.375584207
778	3.374814153
779	3.374270587
780	3.373005804
781	3.369927309
782	3.369734301
783	3.366910919
784	3.365918434
785	3.365673912
786	3.363495448
787	3.36158801
788	3.360403891
789	3.359537766
790	3.358251228
791	3.355446947
792	3.352973619
793	3.349489143
794	3.348361686
795	3.34674818
796	3.344785991
797	3.343267755
798	3.342798504
799	3.342544128
800	3.341623796
801	3.341217414
802	3.340095324
803	3.339590506
804	3.338701119
805	3.335957853
806	3.334193136
807	3.332444404
808	3.330889526
809	3.327981344
810	3.32464695
811	3.322150085
812	3.319715823
813	3.317631217
814	3.317297368
815	3.3165255
816	3.314760839
817	3.31187908
818	3.310651174
819	3.30875235
820	3.308480197
821	3.307178717
822	3.304530606
823	3.303507447
824	3.303180992
825	3.302963215
826	3.302447651
827	3.301301409
828	3.298551437
829	3.296117163
830	3.293798082
831	3.293352018
832	3.29131152
833	3.289903893
834	3.286223716
835	3.283498483
836	3.282775895
837	3.281177106
838	3.277056788
839	3.274493687
840	3.273042192
841	3.270847513
842	3.270682838
843	3.26812282
844	3.266648186
845	3.266003351
846	3.264536329
847	3.263895763
848	3.262983787
849	3.262831395
850	3.261740667
851	3.259537765
852	3.256678085
853	3.255365595
854	3.255070951
855	3.254620851
856	3.254433554
857	3.252349174
858	3.252100517
859	3.24988355
860	3.249452296
861	3.248075427
862	3.246536487
863	3.245992219
864	3.245614415
865	3.244130596
866	3.243875412
867	3.241457156
868	3.24089035
869	3.238651479
870	3.235984842
871	3.233345136
872	3.231479457
873	3.231025033
874	3.22957424
875	3.229303808
876	3.228174557
877	3.22725969
878	3.226371629
879	3.225398936
880	3.223497342
881	3.221423844
882	3.219384645
883	3.219184036
884	3.218340437
885	3.215908744
886	3.212290297
887	3.211531854
888	3.210000691
889	3.209338196
890	3.207996843
891	3.207870835
892	3.205683316
893	3.204587501
894	3.200806851
895	3.198812463
896	3.198508422
897	3.194365775
898	3.193307991
899	3.192496651
900	3.189947096
901	3.189694738
902	3.188532439
903	3.187494066
904	3.186583398
905	3.185987331
906	3.183933349
907	3.182384756
908	3.179152377
909	3.177589758
910	3.177479939
911	3.175781177
912	3.173203998
913	3.17297736
914	3.170620343
915	3.168696953
916	3.167980681
917	3.166240576
918	3.164805396
919	3.163108155
920	3.161158167
921	3.159421424
922	3.158720128
923	3.157081021
924	3.155147946
925	3.153082355
926	3.152702607
927	3.152553531
928	3.149496099
929	3.148684337
930	3.148591029
931	3.148415745
932	3.14772161
933	3.144772235
934	3.142909175
935	3.141372288
936	3.139549982
937	3.137752851
938	3.136162214
939	3.132771937
940	3.132230413
941	3.132160025
942	3.131799395
943	3.131157038
944	3.130358818
945	3.127862975
946	3.123680561
947	3.123518685
948	3.122744063
949	3.121318833
950	3.120137555
951	3.117966135
952	3.117771008
953	3.115532717
954	3.114440306
955	3.113909634
956	3.112636136
957	3.110817369
958	3.108933798
959	3.106429265
960	3.106360625
961	3.10523164
962	3.103080145
963	3.101831045
964	3.099153143
965	3.098696565
966	3.095795949
967	3.093143088
968	3.091999304
969	3.091764955
970	3.089145316
971	3.088919446
972	3.088242825
973	3.085967303
974	3.085361389
975	3.083469983
976	3.080038002
977	3.078398214
978	3.077643593
979	3.075852058
980	3.075351639
981	3.073616343
982	3.072917732
983	3.071469015
984	3.069222346
985	3.067605758
986	3.066478026
987	3.064294263
988	3.062523936
989	3.059493309
990	3.058393884
991	3.057111478
992	3.055093698
993	3.054294996
994	3.05228077
995	3.051711896
996	3.05121277
997	3.050749953
998	3.050015429
999	3.049321984
